,WD,basin,sampling_point,sampling_date,BOD,chla,COD,DO,EC,SS,wtemp,TOC,clar,lake_x,Title,Satellite_date,check_same_date,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,check
972,4회차,한강,Paldang5,20201123,1.3,9.7,5,8.3,332,16.3,10.7,2.8,0.6,Paldangdam,1_11_20201123T022021_20201123T022633_T52SCG.tif,20201123,처_음,332,484.7777778,782,650.4444444,562.1111111,243.6666667,237.7777778,212.3333333,147.3333333,72,80,66.33333333,0
973,4회차 상층부,한강,Paldang1,20201123,0.8,4,3.8,9.8,270,5.1,11,2.2,1.3,Paldangdam,1_11_20201123T022021_20201123T022633_T52SCG.tif,20201123,처_음,246.5555556,408.3333333,707.3333333,370.5555556,248.1111111,84.88888889,82.77777778,85.77777778,55.44444444,29.33333333,63.88888889,56.33333333,0
974,4회차 상층부,한강,Paldang4,20201123,0.5,3.6,3.4,10.2,103,5.3,10.3,1.8,0.9,Paldangdam,1_11_20201123T022021_20201123T022633_T52SCG.tif,20201123,처_음,261,428.3333333,698.8888889,422.8888889,306.4444444,118.6666667,119.2222222,107.7777778,85.88888889,20.33333333,42.44444444,27.11111111,0
975,5회차,한강,Paldang5,20201130,1.8,14.9,4.3,10.4,275,9.7,6.7,2.6,0.9,Paldangdam,1_11_20201128T022039_20201128T022033_T52SCG.tif,20201128,처_음,153,364.5555556,578.2222222,400.3333333,328.3333333,106.6666667,118.3333333,102.3333333,68.88888889,24,39.66666667,19.66666667,0
976,5회차 상층부,한강,Paldang1,20201130,0.7,4.5,3.3,12,300,2,7.2,1.8,2.7,Paldangdam,1_11_20201128T022039_20201128T022033_T52SCG.tif,20201128,처_음,45.11111111,185.8888889,248,117,84.22222222,40.66666667,59.77777778,50.55555556,45.66666667,31.88888889,49.11111111,65.66666667,0
977,5회차 상층부,한강,Paldang4,20201130,0.6,4.5,3.1,11.2,105,2.4,8.1,1.6,2.1,Paldangdam,1_11_20201128T022039_20201128T022033_T52SCG.tif,20201128,처_음,18.22222222,223.7777778,332.8888889,142,92.88888889,16.22222222,24.88888889,17.44444444,18,3.111111111,31.11111111,24.44444444,0
978,1회차,한강,Paldang5,20201207,1.7,13.9,4.1,12.6,229,6.8,6,2.1,1.4,Paldangdam,1_11_20201208T022059_20201208T022057_T52SCG.tif,20201208,처_음,89,234.1111111,354.6666667,197,176.7777778,69.77777778,83.88888889,70.22222222,59,46,47,43.33333333,0
979,1회차 상층부,한강,Paldang1,20201207,0.5,4.7,3.1,13.2,301,1.5,5.4,1.7,2.6,Paldangdam,1_11_20201208T022059_20201208T022057_T52SCG.tif,20201208,처_음,186.3333333,303.2222222,372,191.5555556,183,155.3333333,167.3333333,165.6666667,172.1111111,198.6666667,195.7777778,181.4444444,0
980,1회차 상층부,한강,Paldang4,20201207,0.5,5.4,3,11.7,132,2.2,7,1.6,1.9,Paldangdam,1_11_20201208T022059_20201208T022057_T52SCG.tif,20201208,처_음,109,269.8888889,365.8888889,179.7777778,132.2222222,78.55555556,80.66666667,68.77777778,73.11111111,44.11111111,63.66666667,56.44444444,0
1019,2회차,한강,Paldang5,20210308,1.8,13,4.9,11,339,16.3,8.9,3,0.5,Paldangdam,1_11_20210308T021559_20210308T021602_T52SCG.tif,20210308,처_음,296,491,758.3333333,526.2222222,471.7777778,147.1111111,135.8888889,106.8888889,56.66666667,15,41.22222222,21.55555556,1
1020,2회차 상층부,한강,Paldang1,20210308,2.9,51.7,6.3,14.6,288,11,9.3,3.7,0.6,Paldangdam,1_11_20210308T021559_20210308T021602_T52SCG.tif,20210308,처_음,167.5555556,273.3333333,461.7777778,253.7777778,309.3333333,97.33333333,94.88888889,88.66666667,67.22222222,38.33333333,74.66666667,62.11111111,1
1021,2회차 상층부,한강,Paldang4,20210308,0.9,6,2.7,13.3,116,2.2,6.3,1.7,2,Paldangdam,1_11_20210308T021559_20210308T021602_T52SCG.tif,20210308,처_음,110,232,340.6666667,121.2222222,92.22222222,24.11111111,29.11111111,25,14.11111111,0,31.77777778,34.44444444,1
1025,4회차,한강,Paldang5,20210322,2.6,23.8,5.3,10.8,350,14.6,10.4,2.9,0.8,Paldangdam,1_11_20210323T021601_20210323T022205_T52SCG.tif,20210323,처_음,553,612.8888889,775.6666667,671.8888889,715,545.1111111,545.6666667,549.5555556,509,501,430.6666667,313.8888889,1
1026,4회차 상층부,한강,Paldang1,20210322,2.1,30.1,4.8,11.8,287,10,11.2,2.5,0.9,Paldangdam,1_11_20210323T021601_20210323T022205_T52SCG.tif,20210323,처_음,629.3333333,642,788.5555556,669,706.1111111,623.7777778,619.2222222,641.1111111,606.4444444,590.6666667,531,405.2222222,1
1027,4회차 상층부,한강,Paldang4,20210322,1.2,9.1,3.4,12.4,158,3.3,9,1.8,2.1,Paldangdam,1_11_20210323T021601_20210323T022205_T52SCG.tif,20210323,처_음,547.4444444,587.3333333,690.2222222,558.7777778,552.8888889,506.5555556,501.5555556,512.8888889,486.2222222,486.4444444,427.3333333,323.6666667,1
1031,1회차,한강,Paldang5,20210405,2.8,36.8,5.9,10.5,319,19.3,14.9,3.2,0.4,Paldangdam,1_11_20210407T021559_20210407T021600_T52SCG.tif,20210407,처_음,441,545.1111111,679.2222222,464.8888889,488.1111111,291.3333333,290.3333333,254.6666667,217.5555556,163,132,79.88888889,1
1032,1회차 상층부,한강,Paldang1,20210405,2.6,31.8,5.5,11,241,16.5,14.3,2.6,0.4,Paldangdam,1_11_20210407T021559_20210407T021600_T52SCG.tif,20210407,처_음,389,474.5555556,627.7777778,380.8888889,381.8888889,207.5555556,214.4444444,189.6666667,162.7777778,140.6666667,116.1111111,106.1111111,1
1033,1회차 상층부,한강,Paldang4,20210405,1.2,8.1,3.4,10.9,122,4.1,12.7,1.7,1.7,Paldangdam,1_11_20210407T021559_20210407T021600_T52SCG.tif,20210407,처_음,406,463.1111111,500.5555556,289,260.3333333,224.5555556,220.6666667,199.7777778,172.1111111,156.1111111,107.5555556,74.77777778,1
1097,1회차,한강,Paldang5,20210906,2.7,71.7,5.4,11.7,272,8.3,23.7,3.4,1,Paldangdam,1_11_20210904T021559_20210904T021559_T52SCG.tif,20210904,처_음,301,352.6666667,524.7777778,329,440.6666667,386.4444444,442.6666667,373.8888889,417,879,213.6666667,133.1111111,1
1098,1회차 상층부,한강,Paldang1,20210906,0.4,0.9,2.9,9.4,224,8.2,21.2,1.9,1.5,Paldangdam,1_11_20210904T021559_20210904T021559_T52SCG.tif,20210904,처_음,295.5555556,477.2222222,653.1111111,439.8888889,334.3333333,225,243.4444444,274.4444444,212.1111111,259.5555556,156.7777778,113.6666667,1
1099,1회차 상층부,한강,Paldang4,20210906,1.8,26.3,4,9.8,134,6.1,22.8,2.4,1.7,Paldangdam,1_11_20210904T021559_20210904T021559_T52SCG.tif,20210904,처_음,205,302.7777778,423.7777778,199.7777778,180.2222222,90.55555556,99,83.55555556,84.88888889,109.7777778,81.55555556,63.44444444,1
1118,4회차,한강,Paldang5,20211025,4,47.1,5.5,11.1,222,14.2,15.8,3,0.5,Paldangdam,1_11_20211024T021749_20211024T021743_T52SCG.tif,20211024,처_음,225,318,408.3333333,240.6666667,277,157.4444444,155.3333333,159.3333333,144.5555556,75,65.33333333,24.88888889,1
1119,4회차 상층부,한강,Paldang1,20211025,0.5,0.2,2.7,10.4,271,1.9,15.4,1.9,1.4,Paldangdam,1_11_20211024T021749_20211024T021743_T52SCG.tif,20211024,처_음,239,361.2222222,429.2222222,193.6666667,144.7777778,121.3333333,135.5555556,122,122.4444444,70.11111111,72.44444444,45.22222222,1
1120,4회차 상층부,한강,Paldang4,20211025,1.1,8.9,3.1,9.7,148,2.6,16.7,1.9,,Paldangdam,1_11_20211024T021749_20211024T021743_T52SCG.tif,20211024,처_음,186.4444444,281.8888889,328.2222222,168.6666667,140.4444444,83.88888889,92.77777778,88.55555556,75.33333333,33.11111111,44.22222222,31.33333333,1
1121,1회차,한강,Paldang5,20211101,4,49.7,7.8,13.1,250,9.6,15.5,2.3,1.6,Paldangdam,1_11_20211103T021839_20211103T021842_T52SCG.tif,20211103,처_음,224,320.4444444,390.1111111,243.4444444,266.6666667,187.4444444,173.5555556,171.4444444,151,99,84.77777778,43.33333333,1
1122,1회차 상층부,한강,Paldang1,20211101,0.4,0.5,3,11,273,1.6,15.7,1.6,3.6,Paldangdam,1_11_20211103T021839_20211103T021842_T52SCG.tif,20211103,처_음,254,358.4444444,395.2222222,202.1111111,200.5555556,173.6666667,169.5555556,157.4444444,173.6666667,93.22222222,107.8888889,67.88888889,1
1123,1회차 상층부,한강,Paldang4,20211101,1,8.2,3.1,10.3,153,2.5,15.9,1.5,1.9,Paldangdam,1_11_20211103T021839_20211103T021842_T52SCG.tif,20211103,처_음,118.8888889,220.4444444,246.5555556,127.1111111,114.4444444,79.33333333,76.11111111,69.55555556,67,11.22222222,57.77777778,39.66666667,1
1127,3회차,한강,Paldang5,20211115,2.5,27.7,4.4,11.5,244,5.5,12,2.8,1,Paldangdam,1_11_20211113T021929_20211113T021932_T52SCG.tif,20211113,처_음,8,151.1111111,241,111.7777778,115.8888889,71.55555556,53.55555556,51.33333333,62.11111111,178,46.44444444,41.22222222,0
1128,3회차 상층부,한강,Paldang1,20211115,0.3,0.2,3,11.3,300,0.8,10.6,1.8,2.1,Paldangdam,1_11_20211113T021929_20211113T021932_T52SCG.tif,20211113,처_음,0.222222222,106.6666667,158.1111111,23.77777778,1,0,0.444444444,1,0,3.666666667,42,55.77777778,0
1129,3회차 상층부,한강,Paldang4,20211115,0.7,5.6,2.7,10.5,130,1.6,11.9,1.5,2.1,Paldangdam,1_11_20211113T021929_20211113T021932_T52SCG.tif,20211113,처_음,1.666666667,96.22222222,139.2222222,36,3.888888889,1,1,1,1,0.777777778,32.66666667,34.77777778,0
1133,5회차,한강,Paldang5,20211129,5.1,63.1,7.5,13.8,285,10.1,7.1,6.2,1.5,Paldangdam,1_11_20211128T022031_20211128T022033_T52SCG.tif,20211128,처_음,46,121.6666667,234,90.88888889,91.55555556,15.66666667,20.22222222,10.44444444,7,6,28,1.555555556,0
1134,5회차 상층부,한강,Paldang1,20211129,0.4,0.2,2.9,12.9,303,0.7,7.9,1.6,2.8,Paldangdam,1_11_20211128T022031_20211128T022033_T52SCG.tif,20211128,처_음,55.44444444,71.11111111,155.1111111,33.66666667,10.77777778,0.666666667,4,1.111111111,19.44444444,3.888888889,50.55555556,42.88888889,0
