,Unnamed: 0,year,month,WD,sampling_date,basin,sampling_point,BOD,chla,COD,chro,DO,EC,SS,wtemp,TOC,clar,lake_x,Title,Satellite_date,check_same_date,lake_y,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,check
113,113,2017,1,1회차 상층부,20170104,금강,D6,1.4,2.4,3.5,,10.2,164,1.2,8,2.3,5,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
114,114,2017,1,1회차 상층부,20170104,금강,D2,0.9,1.4,4.1,,8.6,163,3.6,9,2.2,3.8,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
115,115,2017,1,1회차 상층부,20170104,금강,D3,1.4,1.3,4,,9,162,3.6,9,2.2,4.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
116,116,2017,1,1회차 상층부,20170104,금강,D4,1.9,4.7,3.4,,11.9,182,1.2,5,2.2,6.5,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
117,117,2017,1,2회차 상층부,20170109,금강,D1,0.7,3.4,3.8,,11.1,156,1.4,8.4,3.1,3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
118,118,2017,1,3회차 상층부,20170116,금강,D1,0.6,5.5,3.9,,11.5,155,1.3,7.2,3.4,4.2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
119,119,2017,1,4회차 상층부,20170123,금강,D1,0.6,2.9,3.9,,11.3,156,0.8,5.9,2.9,4.7,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
120,120,2017,2,1회차 상층부,20170131,금강,D1,0.8,1.7,3.7,,11.4,153,0.6,5.3,2.9,4.9,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
121,121,2017,2,1회차 상층부,20170207,금강,D5,1.6,2.5,3.2,,11.2,164,0.4,5,2.2,5.9,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
122,122,2017,2,1회차 상층부,20170207,금강,D6,1.9,2.8,3.2,,11.7,172,0.4,4,2.2,5.6,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
123,123,2017,2,1회차 상층부,20170207,금강,D2,1.2,1.8,2.7,,9.8,168,0.8,6,2.1,4.2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
124,124,2017,2,1회차 상층부,20170207,금강,D3,1.5,2.1,2.7,,10,169,0.8,5,2.2,4.2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
125,125,2017,2,1회차 상층부,20170207,금강,D4,,,,,,,,,,,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
126,126,2017,2,2회차 상층부,20170206,금강,D1,0.9,1.9,3.8,,13.3,153,1.6,5.2,3.3,3.7,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
127,127,2017,2,3회차 상층부,20170213,금강,D1,0.7,1.9,4.4,,12.4,155,1.7,4.9,3.2,3.8,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
128,128,2017,2,4회차 상층부,20170220,금강,D1,0.5,1.6,3.9,,12.5,157,0.9,5.2,2.8,2.8,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
129,129,2017,3,1회차 상층부,20170227,금강,D1,0.7,1.2,3.7,,12.8,156,1.4,5.8,2.1,4.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
130,130,2017,3,1회차 상층부,20170303,금강,D5,2.6,2.1,3,,11.8,165,0.4,5,2.2,5.7,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
131,131,2017,3,1회차 상층부,20170303,금강,D6,2.5,2.5,3.2,,12.5,184,0.4,5,1.9,5.8,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
132,132,2017,3,1회차 상층부,20170303,금강,D2,1.7,2.1,3.1,,11.1,168,0.4,6,2.1,4.8,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
133,133,2017,3,1회차 상층부,20170303,금강,D3,2.2,1.7,3.1,,11.3,169,0.4,6,2.1,4.2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
134,134,2017,3,1회차 상층부,20170303,금강,D4,3,2.2,2.9,,12.4,198,0.8,6,1.7,1.7,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
135,135,2017,3,2회차 상층부,20170306,금강,D1,0.6,1.7,3.8,,12.5,159,0.8,6.2,2.6,2.1,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
136,136,2017,3,3회차 상층부,20170313,금강,D1,0.7,1.8,3.7,,12.6,155,0.5,7.9,2.7,4.5,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
137,137,2017,3,4회차 상층부,20170320,금강,D1,0.6,1.8,3.7,,12.5,154,2.6,9,3.1,4.9,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
138,138,2017,3,5회차 상층부,20170327,금강,D1,0.6,1.6,3.9,,12.3,152,1.7,9.3,2.6,2.8,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
139,139,2017,4,1회차 상층부,20170403,금강,D1,0.5,1.1,4,,12.3,135,1.3,11.7,2.7,5.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
140,140,2017,4,1회차 상층부,20170405,금강,D5,1.1,3.5,2.5,,11.5,170,0.4,11,2.3,7.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
